date,index_close,index_volume,index_amount,index_turnover
2024-06-06,3592.2454,13789351700,226764072639.2,0
2024-06-07,3574.1143,13110302600,213001530097.8,0
2024-06-11,3542.8771,13452230600,219282337214.0,0
2024-06-12,3544.1225,12281372900,200722600631.1,0
2024-06-13,3526.1306,12324546200,214792338449.3,0
2024-06-14,3541.5331,17151694200,283768816845.0,0
2024-06-17,3536.1986,13743343800,232293851893.9,0
2024-06-18,3545.5902,12367183800,208824124156.0,0
2024-06-19,3528.749,10664279700,184790298728.6,0
2024-06-20,3503.2817,11161739600,186515776574.7,0
2024-06-21,3495.6198,10918661500,182736735066.8,0
2024-06-24,3476.8102,11799018400,195787549313.6,0
2024-06-25,3457.9023,11844811800,190886336762.4,0
2024-06-26,3480.2648,10589886100,171538111702.3,0
2024-06-27,3454.1175,11491810100,174112508796.1,0
2024-06-28,3461.657,13540915300,205118806811.8,0
2024-07-01,3478.1827,12182977000,188018227774.8,0
2024-07-02,3471.7857,12165012100,186104752421.9,0
2024-07-03,3463.4141,10385710800,163035359363.1,0
2024-07-04,3445.8128,10442990900,159477153569.5,0
2024-07-05,3431.0605,11660965900,181416567402.8,0
2024-07-08,3401.7604,11552821800,177559765827.5,0
2024-07-09,3439.8111,13162944300,215048837819.8,0
2024-07-10,3428.9657,12720345600,198149476849.1,0
2024-07-11,3468.169,14589246600,237551298481.6,0
2024-07-12,3472.4014,13087458900,205055553856.4,0
2024-07-15,3476.2467,11851708300,171584915379.5,0
2024-07-16,3498.2827,12065901700,200456285077.5,0
2024-07-17,3501.5836,13180206200,222830802528.4,0
2024-07-18,3520.931,12376819900,215783795702.6,0
2024-07-19,3539.0156,13244797500,228065104129.0,0
2024-07-22,3514.9249,13212633700,217457320403.9,0
2024-07-23,3439.8779,12889766000,202857560168.7,0
2024-07-24,3418.1663,12703626300,184884499786.8,0
2024-07-25,3399.2716,13102224200,190131464834.7,0
2024-07-26,3409.2931,12419555800,187853329477.8,0
2024-07-29,3390.742,10978778600,166697103823.1,0
2024-07-30,3369.3821,10495216400,165442824490.2,0
2024-07-31,3442.0844,17195917700,258249147336.4,0
2024-08-01,3419.2666,13632346400,206038002517.7,0
2024-08-02,3384.3919,11661525500,179671192427.6,0
2024-08-05,3343.3205,14281251600,223631266563.2,0
2024-08-06,3342.9789,11934027900,181724693847.5,0
2024-08-07,3341.489,9508437700,145078975325.5,0
2024-08-08,3342.9369,9249569500,149482926226.5,0
2024-08-09,3331.6274,9151162600,142852166559.2,0
2024-08-12,3325.8645,7993875400,117544892726.5,0
2024-08-13,3334.3903,8448967900,125259155343.0,0
2024-08-14,3309.2389,7874240700,118181952004.2,0
2024-08-15,3341.953,10476639900,149249335425.5,0
2024-08-16,3345.634,9651908300,135885323083.0,0
2024-08-19,3356.9677,10557111000,143421671337.3,0
2024-08-20,3332.7034,10166833100,137910585091.6,0
2024-08-21,3321.635,8995475100,130005992563.3,0
2024-08-22,3313.1357,10036650400,147702791560.6,0
2024-08-23,3327.1905,8952577400,132680886499.7,0
2024-08-26,3324.2231,9399077200,139070603958.0,0
2024-08-27,3305.3338,9580815700,129755962864.4,0
2024-08-28,3286.4956,9269665000,135982310964.6,0
2024-08-29,3277.6812,13070233300,174340106392.6,0
2024-08-30,3321.4323,18869544300,268376041210.9,0
2024-09-02,3265.011,14761235300,194409996348.3,0
2024-09-03,3273.4282,12289730600,155089488535.3,0
2024-09-04,3252.1649,10483248200,140070063076.9,0
2024-09-05,3257.7578,9710945000,134618198893.7,0
2024-09-06,3231.3457,8840041700,121541545905.7,0
2024-09-09,3192.9516,10867306900,146516054460.5,0
2024-09-10,3195.7552,9729007800,133610476131.5,0
2024-09-11,3186.1299,10248211000,141513837135.3,0
